μM	Formic acid  1TMS	Acetic acid  1TMS	Propionic acid 1TMS (MSTFA)	Isobutyric acid 1TMS	Butyric acid 1TMS	3-Methylbutyric acid 1TMS	Valeric acid TMS	Deoxycholic Acid 3TMS	Hyodeoxycholic acid (HDCA)	beta-MCA	omega-MCA	Cholic acid 4TMS	Chenodeoxycholic acid 3TMS 	Lithocholic acid 2TMS	HCA	alpha-MCA	Ursodeoxycholic acid 3TMS
13_testfeces-1	172.03081339651925	2405.393005456688	977.3779743405213	115.53708801651538	625.8243124600131	5.30406233933922	106.29602322021067	226.1133963314807	41.06256894481096	4.971962213825564	10.046204180704352	21.277588045675294	36.39792657419439	43.25616080537805	3.6105609178033453	3.344725864987461	37.90763698486195
14_testfeces-2	163.90666348385028	2285.58741124133	958.7729533789472	131.0285730783651	663.8725630090725	6.85350485070969	118.11809986883463	203.0167435405804	15.510652887974235	1.9673225168961272	3.6050466206392886	10.854147325996902	14.913587031786708	40.101864981328355	1.6051256945178913	1.3419541007851374	14.394334624487959
15_testfeces-3	151.9992012507848	2603.053084338747	1132.238763338484	157.88304138061716	725.761245874439	7.906059255227597	137.95452745972236	194.97485184979448	10.526096903247288	0.9796099092206431	1.8644489274688205	7.847215367211889	8.638954408750259	37.518705281288796	0.7468303887031619	0.6624478528585456	9.277643606651337
16_testfeces_std5-1	476.7912717509753	5459.171419952341	3633.721784633278	420.5369992990245	2853.751957403724	242.5185777722078	543.8528552410606	571.7681752220503	432.73929519626705	39.8881936666662	42.21227455588464	460.94666948689115	428.98924562005453	80.13467184348919	40.566398746858425	46.61590473167625	437.817552335522
17_testfeces_std5-2	456.7182701171554	5047.310285062524	3305.2972085834845	359.6193073351836	2767.884538264312	247.22054074856854	501.2607537967586	599.8349571397375	432.00109750575797	39.3054066369991	41.44775647440054	454.5740505861197	452.6669040146826	80.44634086643417	39.751907800392715	45.8816765359126	441.5500939525608
18_testfeces_std5-3	466.0946142868909	5275.585877232551	3502.789356869165	421.4177824429314	3133.2285654403	280.59608699549756	604.5206455411654	566.3266015558297	428.4841818676904	37.91604042383536	40.763976681821944	454.70115374701464	445.39159567572034	74.80367581153524	38.964439445839794	42.13031730845971	430.05816994097046
19_testfeces_std6-1	617.4797053190468	6283.801921117505	4400.193309225243	462.5328576413078	3928.756095542017	378.42873261181524	712.097609697899	631.7572178079648	546.6691021289603	46.13753194518153	50.55273965037881	568.7686693070538	539.487384644611	82.29123323131022	47.836288647293415	54.87166425526609	579.5709007942327
20_testfeces_std6-2	540.1016547446653	5665.467355433939	3740.363588828765	469.2632231074149	3711.3849928396417	349.1451398174413	620.8735445142221	707.3558170206217	564.1016788451835	46.92223923390977	48.63238612755598	585.0094220111578	570.6321174736836	94.7399695875747	49.077580513175576	53.6575839024295	565.1347732499507
21_testfeces_std6-3	559.0388425521145	5725.04726036579	4444.167118442917	495.04609888573646	3624.115039087106	362.5279861021289	738.2999579500961	694.9337469177236	598.7358800891622	52.81619901844764	53.17581788539101	619.8330690463495	592.3804377472266	98.2132447041692	52.83224697744397	59.91097420179989	634.1536093221833
conc.of_std5	250.0	2500.0	2500.0	250.0	2500.0	250.0	500.0	375.0	375.0	37.5	37.5	375.0	375.0	37.5	37.5	37.5	375.0
conc.of_std6	375.0	3750.0	3750.0	375.0	3750.0	375.0	750.0	500.0	500.0	50.0	50.0	500.0	500.0	50.0	50.0	50.0	500.0
